chart_id	source_id	source_label	source_nodetype	target_id	target_label	target_nodetype	edge_label	edge_type	confidence	rationale	prior_type	prior_confidence	label_was_placeholder
ecoli_tca_cycle	Start	TCA Cycle	other	A1	Acetyl-CoA enters cycle	metabolite		proceeds	high	TCA process step advances	proceeds	high	false
ecoli_tca_cycle	A1	Acetyl-CoA enters cycle	metabolite	A2	Acetyl-CoA from: glycolysis, fatty acids, amino acids	metabolite		proceeds	high	TCA process step advances	proceeds	high	false
ecoli_tca_cycle	A2	Acetyl-CoA from: glycolysis, fatty acids, amino acids	metabolite	A3	Step 1: Citrate Synthase GltA	metabolite		proceeds	high	pathway step to enzyme/process	proceeds	high	false
ecoli_tca_cycle	A3	Step 1: Citrate Synthase GltA	metabolite	A4	Acetyl-CoA + Oxaloacetate + H2O	metabolite		proceeds	high	TCA process step advances	proceeds	high	false
ecoli_tca_cycle	A4	Acetyl-CoA + Oxaloacetate + H2O	metabolite	A5	Citrate + CoA-SH	metabolite		proceeds	high	TCA process step advances	proceeds	high	false
ecoli_tca_cycle	A5	Citrate + CoA-SH	metabolite	A6	ΔG°' = -31.4 kJ/mol - irreversible	other		proceeds	high	TCA process step advances	proceeds	high	false
ecoli_tca_cycle	A6	ΔG°' = -31.4 kJ/mol - irreversible	other	A7	Step 2: Aconitase AcnA AcnB	other		proceeds	high	pathway step to enzyme/process	proceeds	high	false
ecoli_tca_cycle	A7	Step 2: Aconitase AcnA AcnB	other	A8	Which aconitase isoform?	gate		proceeds	high	isoform/branch gate along pathway	proceeds	high	false
ecoli_tca_cycle	A8	Which aconitase isoform?	gate	A9	Iron-sulfur cluster intact	other	AcnA - aerobic	proceeds	high	isoform/branch gate along pathway	proceeds	high	false
ecoli_tca_cycle	A8	Which aconitase isoform?	gate	A10	Alternative isoform	other	AcnB - stationary phase	proceeds	high	isoform/branch gate along pathway	proceeds	high	false
ecoli_tca_cycle	A9	Iron-sulfur cluster intact	other	A11	Citrate ⇌ cis-Aconitate + H2O	metabolite		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A10	Alternative isoform	other	A11	Citrate ⇌ cis-Aconitate + H2O	metabolite		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A11	Citrate ⇌ cis-Aconitate + H2O	metabolite	A12	cis-Aconitate ⇌ Isocitrate	metabolite		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A12	cis-Aconitate ⇌ Isocitrate	metabolite	A13	Isocitrate formed	metabolite		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A13	Isocitrate formed	metabolite	A14	Step 3: Isocitrate Dehydrogenase	metabolite		proceeds	high	pathway step to enzyme/process	proceeds	high	false
ecoli_tca_cycle	A14	Step 3: Isocitrate Dehydrogenase	metabolite	A15	Which Icd isoform?	gate		proceeds	high	isoform/branch gate along pathway	proceeds	high	false
ecoli_tca_cycle	A15	Which Icd isoform?	gate	A16	Produces NADPH for biosynthesis	other	Icd NADP+ dependent	proceeds	high	isoform/branch gate along pathway	proceeds	high	false
ecoli_tca_cycle	A15	Which Icd isoform?	gate	A17	Produces NADH for energy	metabolite	IcdA NAD+ dependent	proceeds	high	isoform/branch gate along pathway	proceeds	high	false
ecoli_tca_cycle	A16	Produces NADPH for biosynthesis	other	A18	Isocitrate + NADP+ → α-Ketoglutarate + CO2 + NADPH	metabolite		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A17	Produces NADH for energy	metabolite	A19	Isocitrate + NAD+ → α-Ketoglutarate + CO2 + NADH	metabolite		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A18	Isocitrate + NADP+ → α-Ketoglutarate + CO2 + NADPH	metabolite	A20	α-Ketoglutarate formed	other		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A19	Isocitrate + NAD+ → α-Ketoglutarate + CO2 + NADH	metabolite	A20	α-Ketoglutarate formed	other		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A20	α-Ketoglutarate formed	other	A21	First CO2 released, first NADH/NADPH	metabolite		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A20	α-Ketoglutarate formed	other	A22	Branch point at α-ketoglutarate	other		proceeds	high	TCA process step advances	proceeds	high	false
ecoli_tca_cycle	A22	Branch point at α-ketoglutarate	other	A23	α-Ketoglutarate → Glutamate	other	Biosynthetic	produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A22	Branch point at α-ketoglutarate	other	A24	Step 4: α-Ketoglutarate Dehydrogenase Complex	complex	Oxidative - continue cycle	proceeds	high	pathway step to enzyme/process	proceeds	high	false
ecoli_tca_cycle	A23	α-Ketoglutarate → Glutamate	other	A25	Biosynthetic withdrawal for amino acids	other		produces	high	reaction yields metabolite/product	produces	high	false
ecoli_tca_cycle	A24	Step 4: α-Ketoglutarate Dehydrogenase Complex	complex	A26	α-Ketoglutarate Dehydrogenase KDH complex	complex		proceeds	high	pathway step to enzyme/process	proceeds	high	false
ecoli_tca_cycle	A26	α-Ketoglutarate Dehydrogenase KDH complex	complex	A27	E1: SucA - decarboxylase	other		proceeds	high	TCA process step advances	proceeds	high	false
ecoli_tca_cycle	A27	E1: SucA - decarboxylase	other	A28	E2: SucB - dihydrolipoyl transsuccinylase	other		proceeds	high	TCA process step advances	proceeds	high	false
ecoli_tca_cycle	A28	E2: SucB - dihydrolipoyl transsuccinylase	other	A29	E3: LpdA - dihydrolipoyl dehydrogenase shared with PDH	protein		proceeds	high	TCA process step advances	proceeds	high	false
