chart_id	stored_title	stored_authors	checked_field	checked_value	flag	resolved_paper_id	resolved_title	title_similarity	has_abstract
ecoli_ara_operon	Positive and negative control of the arabinose operon	Schleif R	doi	10.1073/pnas.97.14.7643	NOT_FOUND				
ecoli_ara_operon	Positive and negative control of the arabinose operon	Schleif R	pmid	10899998	TITLE_MISMATCH	pubmed_10899998	Modeling the dynamics of human hair cycles by a follicular automaton.	0.248	True
ecoli_ara_operon	DNA looping	Schleif R	doi	10.1146/annurev.bi.61.070192.001215	OK	pubmed_1497310	DNA looping.	1.0	True
ecoli_ara_operon	DNA looping	Schleif R	pmid	1497310	OK	pubmed_1497310	DNA looping.	1.0	True
ecoli_ara_operon	AraC protein: a love-hate relationship with DNA	Bustos SA, Schleif RF	doi	10.1016/0167-4781(93)90196-9	NOT_FOUND				
ecoli_ara_operon	AraC protein: a love-hate relationship with DNA	Bustos SA, Schleif RF	pmid	8395888	TITLE_MISMATCH	pubmed_8395888	Synthesis and characterization of antagonists of cyclic-ADP-ribose-induced Ca2+ release.	0.303	True
ecoli_ara_operon	Regulation of the L-arabinose operon of Escherichia coli	Englesberg E, Wilcox G	doi	10.1146/annurev.ge.08.120174.001251	TITLE_MISMATCH	crossref_10.1146_annurev.ge.08.120174.001251	Regulation: positive control.	0.434	False
ecoli_ara_operon	Regulation of the L-arabinose operon of Escherichia coli	Englesberg E, Wilcox G	pmid	4613164	TITLE_MISMATCH	pubmed_4613164	Enteropathogenic Escherichia coli infection in a newborn nursery.	0.383	False
ecoli_lac_operon	Genetic regulatory mechanisms in the synthesis of proteins	Jacob F, Monod J	doi	10.1016/S0022-2836(61)80072-7	NOT_FOUND				
ecoli_lac_operon	Genetic regulatory mechanisms in the synthesis of proteins	Jacob F, Monod J	pmid	13718526	OK	pubmed_13718526	Genetic regulatory mechanisms in the synthesis of proteins.	1.0	True
ecoli_lac_operon	The lactose operon	Müller-Hill B			NO_IDENTIFIERS				
ecoli_lac_operon	Revisiting the lac operon: Functional analysis of the cAMP receptor protein	Napoli AA, Lawson CL, Ebright RH, Berman HM	doi	10.1016/j.str.2005.11.021	TITLE_MISMATCH	crossref_10.1016_j.str.2005.11.021	Conformational and Sequence Signatures in β Helix Proteins	0.431	False
ecoli_lac_operon	Revisiting the lac operon: Functional analysis of the cAMP receptor protein	Napoli AA, Lawson CL, Ebright RH, Berman HM	pmid	16531234	TITLE_MISMATCH	pubmed_16531234	Mechanical strength of the titin Z1Z2-telethonin complex.	0.292	True
ecoli_lac_operon	Mechanism of the allosteric regulation of the lac repressor	Swint-Kruse L, Matthews KS	doi	10.1016/S0065-2164(08)01001-8	NOT_FOUND				
ecoli_lac_operon	Mechanism of the allosteric regulation of the lac repressor	Swint-Kruse L, Matthews KS	pmid	19245934	TITLE_MISMATCH	pubmed_19245934	Therapeutic approaches to secondary immune thrombocytopenic purpura.	0.222	True
ecoli_trp_operon	Attenuation in the control of expression of bacterial operons	Yanofsky C	doi	10.1038/289751a0	OK	pubmed_7007895	Attenuation in the control of expression of bacterial operons.	1.0	True
ecoli_trp_operon	Attenuation in the control of expression of bacterial operons	Yanofsky C	pmid	7007895	OK	pubmed_7007895	Attenuation in the control of expression of bacterial operons.	1.0	True
ecoli_trp_operon	Transcription attenuation	Yanofsky C	pmid	3275651	TITLE_MISMATCH	pubmed_3275651	Protein components of the erythromycin binding site in bacterial ribosomes.	0.182	True
ecoli_trp_operon	Regulation of the trp operon	Merino E, Yanofsky C	doi	10.1016/j.mib.2005.02.010	TITLE_MISMATCH	crossref_10.1016_j.mib.2005.02.010	Protein targeting by the bacterial twin-arginine translocation (Tat) pathway	0.255	False
ecoli_trp_operon	Regulation of the trp operon	Merino E, Yanofsky C	pmid	15802245	TITLE_MISMATCH	pubmed_15802245	Transcriptional control of membrane lipid synthesis in bacteria.	0.374	True
ecoli_trp_operon	The tryptophan operon: a coordinated mechanism for the regulation of biosynthesis	Oxender DL, Zurawski G, Yanofsky C	doi	10.1073/pnas.76.11.5524	TITLE_MISMATCH	pubmed_118451	Attenuation in the Escherichia coli tryptophan operon: role of RNA secondary structure involving the tryptophan codon region.	0.404	True
ecoli_trp_operon	The tryptophan operon: a coordinated mechanism for the regulation of biosynthesis	Oxender DL, Zurawski G, Yanofsky C	pmid	388431	TITLE_MISMATCH	pubmed_388431	Interference of nonsense mutations with eukaryotic messenger RNA stability.	0.299	True
arabidopsis_aba_guard_cell	Regulators of PP2C phosphatase activity function as receptors for abscisic acid	Ma Y, Szostkiewicz I, Korte A, et al.	doi	10.1126/science.1172408	OK	crossref_10.1126_science.1172408	Regulators of PP2C Phosphatase Activity Function as Abscisic Acid Sensors	0.855	True
arabidopsis_aba_guard_cell	Regulators of PP2C phosphatase activity function as receptors for abscisic acid	Ma Y, Szostkiewicz I, Korte A, et al.	pmid	19407143	NOT_FOUND				
arabidopsis_aba_guard_cell	Abscisic acid: emergence of a core signaling network	Cutler SR, Rodriguez PL, Finkelstein RR, Abrams SR	doi	10.1146/annurev-arplant-042809-112122	OK	pubmed_20192755	Abscisic acid: emergence of a core signaling network.	1.0	True
arabidopsis_aba_guard_cell	Abscisic acid: emergence of a core signaling network	Cutler SR, Rodriguez PL, Finkelstein RR, Abrams SR	pmid	20192755	OK	pubmed_20192755	Abscisic acid: emergence of a core signaling network.	1.0	True
arabidopsis_circadian_clock	Reciprocal regulation between TOC1 and LHY/CCA1 within the Arabidopsis circadian clock	Alabadí D, Oyama T, Yanovsky MJ, Harmon FG, Más P, Kay SA	doi	10.1126/science.1061320	OK	crossref_10.1126_science.1061320	"Reciprocal Regulation Between
                    <i>TOC1</i>
                    and
                    <i>LHY</i>
                    /
                    <i>CCA1</i>
                    Within the
                    <i>Arabidopsis</i>
                    Circadian Clock"	0.915	True
arabidopsis_circadian_clock	Reciprocal regulation between TOC1 and LHY/CCA1 within the Arabidopsis circadian clock	Alabadí D, Oyama T, Yanovsky MJ, Harmon FG, Más P, Kay SA	pmid	11486091	NOT_FOUND				
arabidopsis_flc_vernalization	Vernalization requires epigenetic silencing of FLC by histone methylation	Bastow R, Mylne JS, Lister C, Lippman Z, Martienssen RA, Dean C	doi	10.1038/nature02269	NO_ABSTRACT	crossref_10.1038_nature02269	Vernalization requires epigenetic silencing of FLC by histone methylation	1.0	False
arabidopsis_flc_vernalization	Vernalization requires epigenetic silencing of FLC by histone methylation	Bastow R, Mylne JS, Lister C, Lippman Z, Martienssen RA, Dean C	pmid	14712277	OK	pubmed_14712277	Vernalization requires epigenetic silencing of FLC by histone methylation.	1.0	True
arabidopsis_flc_vernalization	A Polycomb-based switch underlying quantitative epigenetic memory	Angel A, Song J, Dean C, Howard M	doi	10.1038/nature10241	OK	pubmed_21785438	A Polycomb-based switch underlying quantitative epigenetic memory.	1.0	True
arabidopsis_flc_vernalization	A Polycomb-based switch underlying quantitative epigenetic memory	Angel A, Song J, Dean C, Howard M	pmid	21785438	OK	pubmed_21785438	A Polycomb-based switch underlying quantitative epigenetic memory.	1.0	True
bacillus_biofilm_formation	Biofilm formation in Bacillus subtilis	Vlamakis H, Chai Y, Beauregard P, Losick R, Kolter R			NO_IDENTIFIERS				
bacillus_comk_competence	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop	Maamar H, Dubnau D	doi	10.1111/j.1365-2958.2005.04592.x	OK	pubmed_15819619	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop.	1.0	True
bacillus_comk_competence	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop	Maamar H, Dubnau D	pmid	15819619	OK	pubmed_15819619	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop.	1.0	True
bacillus_comk_competence	An excitable gene regulatory circuit induces transient cellular differentiation	Süel GM, Garcia-Ojalvo J, Liberman LM, Elowitz MB	doi	10.1038/nature04588	OK	pubmed_16554821	An excitable gene regulatory circuit induces transient cellular differentiation.	1.0	True
bacillus_comk_competence	An excitable gene regulatory circuit induces transient cellular differentiation	Süel GM, Garcia-Ojalvo J, Liberman LM, Elowitz MB	pmid	16554821	OK	pubmed_16554821	An excitable gene regulatory circuit induces transient cellular differentiation.	1.0	True
bacillus_competence_development	Bistability in bacteria	Dubnau D, Losick R	doi	10.1111/j.1365-2958.2006.05249.x	OK	pubmed_16879639	Bistability in bacteria.	1.0	True
bacillus_competence_development	Bistability in bacteria	Dubnau D, Losick R	pmid	16879639	OK	pubmed_16879639	Bistability in bacteria.	1.0	True
bacillus_competence_development	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop	Maamar H, Dubnau D	doi	10.1111/j.1365-2958.2005.04592.x	OK	pubmed_15819619	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop.	1.0	True
bacillus_competence_development	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop	Maamar H, Dubnau D	pmid	15819619	OK	pubmed_15819619	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop.	1.0	True
bacillus_competence_development	Controlling competence in Bacillus subtilis: shared use of regulators	Hamoen LW, Venema G, Kuipers OP	doi	10.1099/mic.0.26003-0	OK	pubmed_12576575	Controlling competence in Bacillus subtilis: shared use of regulators.	1.0	True
bacillus_competence_development	Controlling competence in Bacillus subtilis: shared use of regulators	Hamoen LW, Venema G, Kuipers OP	pmid	12576575	OK	pubmed_12576575	Controlling competence in Bacillus subtilis: shared use of regulators.	1.0	True
bacillus_competence_development	DNA uptake during bacterial transformation	Chen I, Dubnau D	doi	10.1038/nrmicro844	NO_ABSTRACT	pubmed_15083159	DNA uptake during bacterial transformation.	1.0	False
bacillus_competence_development	DNA uptake during bacterial transformation	Chen I, Dubnau D	pmid	15083159	NO_ABSTRACT	pubmed_15083159	DNA uptake during bacterial transformation.	1.0	False
bacillus_spo0a_sporulation	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay	Burbulys D, Trach KA, Hoch JA	doi	10.1016/0092-8674(91)90238-T	NOT_FOUND				
bacillus_spo0a_sporulation	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay	Burbulys D, Trach KA, Hoch JA	pmid	1846779	OK	pubmed_1846779	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay.	1.0	True
bacillus_spo0a_sporulation	Compartmentalization of gene expression during Bacillus subtilis spore formation	Hilbert DW, Piggot PJ	doi	10.1128/MMBR.68.2.234-262.2004	NOT_FOUND				
bacillus_spo0a_sporulation	Compartmentalization of gene expression during Bacillus subtilis spore formation	Hilbert DW, Piggot PJ	pmid	15187183	OK	pubmed_15187183	Compartmentalization of gene expression during Bacillus subtilis spore formation.	1.0	True
bacillus_sporulation_initiation	Regulation of the phosphorelay and the initiation of sporulation in Bacillus subtilis	Hoch JA	doi	10.1146/annurev.mi.47.100193.002301	OK	pubmed_8257105	Regulation of the phosphorelay and the initiation of sporulation in Bacillus subtilis.	1.0	True
bacillus_sporulation_initiation	Regulation of the phosphorelay and the initiation of sporulation in Bacillus subtilis	Hoch JA	pmid	8257105	OK	pubmed_8257105	Regulation of the phosphorelay and the initiation of sporulation in Bacillus subtilis.	1.0	True
bacillus_sporulation_initiation	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay	Burbulys D, Trach KA, Hoch JA	doi	10.1016/0092-8674(91)90238-t	OK	pubmed_1846779	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay.	1.0	True
bacillus_sporulation_initiation	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay	Burbulys D, Trach KA, Hoch JA	pmid	1846779	OK	pubmed_1846779	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay.	1.0	True
bacillus_sporulation_initiation	Evidence that entry into sporulation in Bacillus subtilis is governed by a gradual increase in the level and activity of the master regulator Spo0A	Fujita M, Losick R	doi	10.1101/gad.1335705	OK	pubmed_16166384	Evidence that entry into sporulation in Bacillus subtilis is governed by a gradual increase in the level and activity of the master regulator Spo0A.	1.0	True
bacillus_sporulation_initiation	Evidence that entry into sporulation in Bacillus subtilis is governed by a gradual increase in the level and activity of the master regulator Spo0A	Fujita M, Losick R	pmid	16166384	OK	pubmed_16166384	Evidence that entry into sporulation in Bacillus subtilis is governed by a gradual increase in the level and activity of the master regulator Spo0A.	1.0	True
bacillus_sporulation_initiation	Genetic networks controlling the initiation of sporulation and the development of genetic competence in Bacillus subtilis	Grossman AD	doi	10.1146/annurev.ge.29.120195.002401	OK	pubmed_8825484	Genetic networks controlling the initiation of sporulation and the development of genetic competence in Bacillus subtilis.	1.0	True
bacillus_sporulation_initiation	Genetic networks controlling the initiation of sporulation and the development of genetic competence in Bacillus subtilis	Grossman AD	pmid	8825484	OK	pubmed_8825484	Genetic networks controlling the initiation of sporulation and the development of genetic competence in Bacillus subtilis.	1.0	True
celegans_dauer_decision	Dauer.	Hu PJ	doi	10.1895/wormbook.1.144.1	OK	pubmed_17988074	Dauer.	1.0	True
celegans_dauer_decision	Dauer.	Hu PJ	pmid	17988074	OK	pubmed_17988074	Dauer.	1.0	True
celegans_dauer_decision	A pheromone influences larval development in the nematode Caenorhabditis elegans	Golden JW, Riddle DL	doi	10.1126/science.6896933	OK	pubmed_6896933	A pheromone influences larval development in the nematode Caenorhabditis elegans.	1.0	True
celegans_dauer_decision	A pheromone influences larval development in the nematode Caenorhabditis elegans	Golden JW, Riddle DL	pmid	6896933	OK	pubmed_6896933	A pheromone influences larval development in the nematode Caenorhabditis elegans.	1.0	True
