review_id	chart_id	source_label	target_label	edge_label	assigned_type	assigned_confidence	assigned_rationale	stratum	was_retyped
R001	ecoli_phosphate_regulation	Increased Membrane Remodeling Genes	Replacement of Phospholipids		produces	med	remodeling genes conserve Pi	A_medium	false
R002	ecoli_iron_homeostasis	Iron Efflux Proteins & Export	Environmental Iron Availability (Fe3+)		produces	med	export returns Fe to environment pool	A_medium	false
R003	drosophila_gap_gene_network	Krüppel (Kr)	\Gap genes mutual repression		represses	med	Kr enters mutual-repression network	A_medium	false
R004	ecoli_phosphate_regulation	Synthesis of Polyphosphate (PolyP)	PolyP Storage (Pi Reserve)		produces	high	PolyP stored	B_high	false
R005	ecoli_phosphate_regulation	\Pst System (sensor) Inactive	PhoR (Histidine Kinase)		activates	high	inactive Pst sensor activates PhoR	B_high	false
R006	human_iron_irp_ire	Transferrin-receptor mRNA stabilized	Iron uptake rises		produces	med	stabilized TfR yields higher iron uptake	A_medium	false
R007	ecoli_phosphate_regulation	Enhanced Pi Uptake	Intracellular Pi from Uptake		produces	high	uptake yields intracellular Pi	B_high	false
R008	ecoli_iron_homeostasis	Upregulation of Feo System (Ferrous Iron Uptake)	FeoAB/C System		produces	med	Feo gene upregulation yields Feo system	A_medium	false
R009	ecoli_iron_homeostasis	Upregulation of Heme Uptake Systems (chu, shu)	Heme Uptake & Iron Release (HemO)		produces	med	heme uptake genes yield uptake machinery	A_medium	false
R010	ecoli_phosphate_regulation	PL + ATP -> PLP + ADP Reaction	Pyridoxal 5'-Phosphate (PLP)		produces	high	reaction produces PLP	B_high	false
R011	yeast_cell_cycle_control	Spindle Assembly Checkpoint?	APC/C Activation Cdc20	Passed	activates	med	pass enables APC/C	A_medium	false
R012	ecoli_iron_homeostasis	Transcriptional Derepression by Apo-Fur	Upregulation of Feo System (Ferrous Iron Uptake)		activates	high	derepression upregulates Feo genes	B_high	false
R013	human_nfkb_ikb_oscillator	IκBα resynthesized	IκB resequesters NF-κB		sequesters	med	resynthesized IκB engages sequestration	A_medium	false
R014	yeast_cell_cycle_control	Start Checkpoint Size & Nutrients?	G1 Cyclins Cln1/2/3	Yes	activates	med	pass checkpoint enables G1 cyclins	A_medium	false
R015	ecoli_tryptophan_biosynthesis	trpL Leader Sequence	OR: Trp-tRNA Charged?		proceeds	med	trp pathway advance default	A_medium	false
R016	ecoli_iron_homeostasis	Transcriptional Derepression by Apo-Fur	Derepression of Iron Efflux Genes		activates	high	derepression of efflux genes	B_high	false
R017	human_iron_irp_ire	IRP1/2 bind IRE elements	Transferrin-receptor mRNA stabilized		activates	high	IRP stabilizes TfR mRNA	B_high	false
R018	ecoli_tryptophan_biosynthesis	Anthranilate Formation	TrpD Phosphoribosyltransferase		proceeds	high	biosynthetic pathway step	B_high	false
R019	human_camp_pka_desensitization	cAMP rises, PKA active	PDE degrades cAMP		activates	med	PKA pathway induces PDE activity	A_medium	false
R020	ecoli_tryptophan_biosynthesis	\TrpR Inactive	No Repression		activates	med	inactive repressor permits expression	A_medium	false
R021	yeast_cell_cycle_control	G2 Phase Growth & Preparation	Clb1/2 Cyclins Mitotic CDK		activates	med	G2 enables mitotic cyclins	A_medium	false
R022	ecoli_tca_cycle	Citrate ⇌ cis-Aconitate + H2O	cis-Aconitate ⇌ Isocitrate		produces	high	reaction yields metabolite/product	B_high	false
R023	ecoli_tryptophan_biosynthesis	TrpE/D Anthranilate Synthase	AND: Chorismate + Gln AND TrpE/D?		proceeds	high	biosynthetic pathway step	B_high	false
R024	human_iron_irp_ire	Rising iron inactivates IRPs	IRP1/2 bind IRE elements	⊣ feedback	represses	high	⊣ inactive IRPs leave IREs	B_high	false
R025	ecoli_phosphate_regulation	Impact on PTS Phosphorylation	Is Glucose Available?		proceeds	med	cross-talk/stress side branch	A_medium	false
R026	ecoli_tryptophan_biosynthesis	OR: Trp-tRNA Charged?	Ribosome Stalls at Trp Codons	No - Low Trp	proceeds	med	low Trp-tRNA stalling branch	A_medium	false
R027	ecoli_tryptophan_biosynthesis	Indole-3-Glycerol Phosphate	TrpA/B Tryptophan Synthase		proceeds	high	biosynthetic pathway step	B_high	false
R028	ecoli_phosphate_regulation	Release of Intracellular Pi from PolyP	Intracellular Pi Pool (General)		produces	high	released Pi returns to pool	B_high	false
R029	ecoli_sos_lexa	SOS repair genes derepressed	Repair removes ssDNA signal		activates	med	SOS gene products enable repair	A_medium	false
R030	ecoli_iron_homeostasis	E. coli Cell	Is environmental iron low?		proceeds	med	iron chart process advance	A_medium	false
R031	ecoli_tca_cycle	Third NADH produced	Oxaloacetate regenerated		proceeds	high	TCA process step advances	B_high	false
R032	ecoli_tryptophan_biosynthesis	1-O-Carboxyphenylamino-1-deoxyribulose-5-P	CDRP		produces	high	PRA intermediate converted to CDRP (TrpF/TrpC path product)	B_high	true
R033	yeast_cell_cycle_control	DNA Replication Complete?	Clb5/6 Cyclins S-phase CDK	Yes	activates	med	pass enables Clb5/6	A_medium	false
R034	yeast_cell_cycle_control	Cdc28-Cln Activation	Bud Formation Spindle Pole Duplication		activates	med	CDK activity drives budding	A_medium	false
R035	human_camp_pka_desensitization	PDE degrades cAMP	cAMP rises, PKA active	⊣	represses	med	⊣ PDE lowers cAMP/PKA; also consumes cAMP	A_medium	false
R036	ecoli_phosphate_regulation	Conservation of Intracellular Pi	Intracellular Pi Pool (General)		produces	med	conservation feeds Pi pool	A_medium	false
R037	drosophila_gap_gene_network	knirps (kni)	\Gap genes mutual repression		represses	med	kni enters mutual-repression network	A_medium	false
