p 15.0 (rank  1034): score=0.4704  Prediction and integration of regulatory and protein-protein interactions.
p 16.0 (rank  1103): score=0.4665  Principles of transcriptional regulation and evolution of the metabolic system in E. coli.
p 17.0 (rank  1172): score=0.4625  The comprehensive updated regulatory network of Escherichia coli K-12.
p 18.0 (rank  1241): score=0.4590  Rapidly characterizing the fast dynamics of RNA genetic circuitry with cell-free transcription-trans
p 19.0 (rank  1310): score=0.4545  Regulation strategies for two-output biomolecular networks.
p 20.0 (rank  1379): score=0.4510  Probing the ArcA-P modulon of Escherichia coli by whole genome transcriptional analysis and sequence
p 21.0 (rank  1447): score=0.4459  Biological networks in Parkinson's disease: an insight into the epigenetic mechanisms associated wit
p 22.0 (rank  1516): score=0.4417  Nucleome Dynamics during Retinal Development.
p 23.0 (rank  1585): score=0.4375  Gene Circuit Explorer (GeneEx): an interactive web-app for visualizing, simulating and analyzing gen
p 24.0 (rank  1654): score=0.4339  Network physiology reveals relations between network topology and physiological function.
p 25.0 (rank  1723): score=0.4309  Scale-free behavior in protein domain networks.
p 26.0 (rank  1792): score=0.4269  Making connections: insulators organize eukaryotic chromosomes into independent cis-regulatory netwo
p 27.0 (rank  1861): score=0.4232  FNR and its role in oxygen-regulated gene expression in Escherichia coli.
p 28.0 (rank  1930): score=0.4193  Interplay between degree and Boolean rules in the stability of Boolean networks.
p 29.0 (rank  1999): score=0.4159  Deciphering Fur transcriptional regulatory network highlights its complex role beyond iron metabolis
p 30.0 (rank  2068): score=0.4127  Feed-forward regulatory loop driven by IRF4 and NF-κB in adult T-cell leukemia/lymphoma.
p 31.0 (rank  2137): score=0.4097  Spatiotemporal Gene Expression Profiling and Network Inference: A Roadmap for Analysis, Visualizatio
p 32.0 (rank  2206): score=0.4065  Integrating high-throughput and computational data elucidates bacterial networks.
p 33.0 (rank  2275): score=0.4034  The novel transcription factor SgrR coordinates the response to glucose-phosphate stress.
p 34.0 (rank  2344): score=0.4005  Learning new tricks from an old dog: MalT of the Escherichia coli maltose system is part of a comple
p 35.0 (rank  2413): score=0.3971  Structural Bistability Analysis of Flower-Shaped and Chain-Shaped Boolean Networks.
p 36.0 (rank  2482): score=0.3944  Analyses of antigen dependency networks unveil immune system reorganization between birth and adulth
p 37.0 (rank  2551): score=0.3914  The X-ray crystal structures of two constitutively active mutants of the Escherichia coli PhoB recei
p 38.0 (rank  2620): score=0.3887  A synthetic gene network for tuning protein degradation in Saccharomyces cerevisiae.
p 39.0 (rank  2689): score=0.3855  Dynamic chromatin regulatory landscape of human CAR T cell exhaustion.
p 40.0 (rank  2758): score=0.3827  Inferring gene regulatory networks via adversarially regularized directed graph autoencoder.
p 41.0 (rank  2826): score=0.3800  Model-driven discovery of underground metabolic functions in Escherichia coli.
p 42.0 (rank  2895): score=0.3772  Topology analysis and visualization of Potyvirus protein-protein interaction network.
p 43.0 (rank  2964): score=0.3742  Role of histone-lysine N-methyltransferase 2D (KMT2D) in MEK-ERK signaling-mediated epigenetic regul
p 44.0 (rank  3033): score=0.3714  Cell wall stress responses in Bacillus subtilis: the regulatory network of the bacitracin stimulon.
p 45.0 (rank  3102): score=0.3682  Intercellular CRISPRi for Distributed Genetic Circuits.
p 46.0 (rank  3171): score=0.3651  Inferring a nonlinear biochemical network model from a heterogeneous single-cell time course data.
p 47.0 (rank  3240): score=0.3625  Long-range interactions in the α subunit of tryptophan synthase help to coordinate ligand binding, c
p 48.0 (rank  3309): score=0.3598  mTORC1 controls mitochondrial activity and biogenesis through 4E-BP-dependent translational regulati
p 49.0 (rank  3378): score=0.3570  Evolution of a SHOOTMERISTEMLESS transcription factor binding site promotes fruit shape determinatio
p 50.0 (rank  3447): score=0.3539  A Genetic Interaction Map of Insulin Production Identifies Mfi as an Inhibitor of Mitochondrial Fiss
