process_id	organism	category	name	circuit_class	class_name	topology_type	rationale	evidence_source	confidence	needs_review	has_graph_cycle	not_gates
bacillus_biofilm_formation	Bacillus subtilis	Developmental Decision	Biofilm Formation and Matrix Production	III	Bistable switch / positive feedback	bistable_developmental	Bistable matrix-producer vs motile cell-fate decision	curated_literature	high	no	no	6
bacillus_competence_development	Bacillus subtilis	Developmental Decision	Competence Development and DNA Uptake	III	Bistable switch / positive feedback	comK_positive_feedback_bistable	ComK positive autoregulation: textbook bistable competence switch	curated_literature	high	no	no	5
bacillus_germination	Bacillus subtilis	Developmental Decision	Spore Germination	III	Bistable switch / positive feedback	germination_switch	Triggered dormancy-exit switch	curated_literature	high	no	no	2
bacillus_sporulation_initiation	Bacillus subtilis	Developmental Decision	Sporulation Initiation and Spo0A Phosphorelay	III	Bistable switch / positive feedback	spo0A_phosphorelay_bistable	Spo0A phosphorelay; bistable sporulation cell-fate decision	curated_literature	high	no	no	2
ecoli_aerobic_respiration	E. coli	Metabolic Pathway	Aerobic Respiration and Electron Transport	I	Feed-forward cascade	etc_execution	Aerobic respiration / electron-transport execution chain (ArcAB/FNR regulation is a separate circuit)	curated_literature	high	no	no	2
ecoli_amino_acid_biosynthesis	E. coli	Metabolic Pathway	Amino Acid Biosynthesis Pathways	II	Negative feedback (homeostatic)	end_product_feedback_inhibition	Branched end-product feedback inhibition of amino-acid biosynthesis	curated_literature	high	no	no	5
ecoli_anaerobic_respiration	E. coli	Metabolic Regulation	Anaerobic Respiration Regulation (ArcAB and FNR)	II	Negative feedback (homeostatic)	arcAB_fnr_regulation	ArcAB / FNR redox-responsive homeostatic regulation	curated_literature	high	no	no	7
ecoli_antibiotic_efflux_pumps	E. coli	Biological Process	Antibiotic Efflux Pumps	I	Feed-forward cascade	efflux_execution	Antibiotic efflux-pump export execution	curated_literature	high	no	no	4
ecoli_ara_operon	E. coli	Gene Regulation	Arabinose Operon and AraC Dual Regulation	III	Bistable switch / positive feedback	araC_positive_autoregulation	AraC positive autoregulation; arabinose-uptake bistability	curated_literature	high	no	no	3
ecoli_arginine_biosynthesis	E. coli	Metabolic Regulation	Arginine Biosynthesis and Regulation	II	Negative feedback (homeostatic)	argR_repression_feedback	ArgR-mediated end-product repression	curated_literature	high	no	no	4
ecoli_base_excision_repair	E. coli	DNA Repair	Base Excision Repair (BER)	I	Feed-forward cascade	ber_execution	Base-excision-repair execution pathway	curated_literature	high	no	no	3
ecoli_biofilm_formation	E. coli	Signal Transduction	E. coli Biofilm Formation	III	Bistable switch / positive feedback	bistable_developmental	Bistable biofilm developmental decision	curated_literature	high	no	no	4
ecoli_catabolite_repression	E. coli	Metabolic Regulation	Catabolite Repression and Global Carbon Control	II	Negative feedback (homeostatic)	global_neg_feedback	cAMP-CAP global carbon control; homeostatic	curated_literature	high	no	no	4
ecoli_cell_division	E. coli	Cell Division	Cell Division and FtsZ Ring Assembly	I	Feed-forward cascade	division_feed_forward	Division execution machinery	category_default	medium	yes	no	4
ecoli_chemotaxis	E. coli	Signal Transduction	E. coli Chemotaxis	II	Negative feedback (homeostatic)	perfect_adaptation_neg_feedback	Methylation-based perfect adaptation (classic robust negative feedback)	curated_literature	high	no	no	1
ecoli_cold_shock_response	E. coli	Stress Response	Cold Shock Response	II	Negative feedback (homeostatic)	csp_adaptation	Cold-shock adaptation negative feedback	curated_literature	high	no	no	6
ecoli_dna_damage_checkpoint	E. coli	DNA Repair	DNA Damage Checkpoint and Cell Cycle Arrest	II	Negative feedback (homeostatic)	sos_sula_checkpoint	SOS-induced SulA inhibits FtsZ division; negative division control lifted after repair	curated_literature	high	no	no	16
ecoli_dna_replication_elongation	E. coli	DNA Replication	DNA Replication Elongation	I	Feed-forward cascade	replication_machinery	Replisome elongation execution machinery	curated_literature	high	no	no	0
ecoli_dna_replication_initiation	E. coli	DNA Replication	DNA Replication Initiation at oriC	I	Feed-forward cascade	replication_initiation_machinery	oriC/DnaA replication-initiation execution machinery	curated_literature	high	no	no	1
ecoli_dna_replication_termination	E. coli	DNA Replication	DNA Replication Termination	I	Feed-forward cascade	replication_termination	Ter/Tus replication-termination execution	curated_literature	high	no	no	2
ecoli_e._coli_acid_resistance	E. coli	Stress Response	Acid Resistance Systems (AR1, AR2, AR3)	II	Negative feedback (homeostatic)	acid_homeostasis	Acid-resistance pH homeostasis	curated_literature	high	no	no	4
ecoli_e._coli_flagellar_assembly	E. coli	Biological Process	E. coli Flagellar Assembly	I	Feed-forward cascade	flhDC_feed_forward_cascade	Flagellar assembly temporal feed-forward cascade (Kalir et al. 2001)	curated_literature	high	no	yes	0
ecoli_e._coli_heat_shock_response	E. coli	Stress Response	Heat Shock Response and σ32 (RpoH) Regulation	II	Negative feedback (homeostatic)	sigma32_neg_feedback	sigma-32 (RpoH) negative feedback via chaperone titration	curated_literature	high	no	no	5
ecoli_e._coli_osmotic_stress_response	E. coli	Stress Response	E. coli Osmotic Stress Response	II	Negative feedback (homeostatic)	osmoadaptation_neg_feedback	Osmoadaptation negative feedback	curated_literature	high	no	no	0
