doc_id	doi	pmid	discipline	glmp_relevant	sequence_logic_content	classify_reason	title
crossref_10.4324_9781003726654	10.4324/9781003726654		interdisciplinary	false	false	none	Machine Learning
crossref_10.1016_b978-0-32-391778-0.00011-9	10.1016/b978-0-32-391778-0.00011-9		interdisciplinary	false	false	none	Machine learning
crossref_10.1145_3286868	10.1145/3286868		interdisciplinary	false	false	none	Learning machine learning
crossref_10.1007_978-981-97-0217-6_9	10.1007/978-981-97-0217-6_9		interdisciplinary	false	false	none	Unsupervised Machine Learning and Beyond Machine Learning
crossref_10.1145_3508352.3561121	10.1145/3508352.3561121		interdisciplinary	false	false	none	Machine Learning for Testing Machine-Learning Hardware
crossref_10.1201_9781420011791-13	10.1201/9781420011791-13		interdisciplinary	false	false	none	■ Machine Learning
crossref_10.7551_mitpress_15469.003.0011	10.7551/mitpress/15469.003.0011		mathematics	false	false	none	Machine Learning
crossref_10.1007_978-3-319-30717-6_4	10.1007/978-3-319-30717-6_4		mathematics	false	false	none	Machine Learning
crossref_10.1201_9781003606055-5	10.1201/9781003606055-5		computer_science	false	false	none	Machine learning vs. neutrosophic machine learning
crossref_10.1007_978-1-4842-5028-0_3	10.1007/978-1-4842-5028-0_3		computer_science	false	false	none	Machine Learning
arxiv_2601.11341v1			physics	false	false	none	Skyrmion Quantum Diode Prototype: Bridging Micromagnetic Simulations and Quantum Models
arxiv_2601.11498v1			physics	false	false	none	Convergence Properties of Good Quantum Codes for Classical Communication
arxiv_2601.11418v1			physics	false	false	none	Simulating Quantum Walk Hamiltonians without Pauli Decomposition
arxiv_2601.11446v1			physics	false	false	none	Coupling free electrons to a trapped-ion quantum computer
arxiv_2601.11366v1			physics	false	false	none	Nanofabricated torsion pendulums for tabletop gravity experiments
arxiv_2601.11413v1			physics	false	false	none	Quantum-enhanced optimization for patient stratification in clinical trials
arxiv_2601.11378v1			physics	false	false	none	Transmon Architecture for Emission and Detection of Single Microwave Photons
arxiv_2601.11423v1			physics	false	false	none	Noisy Analysis of Quantum SMOTE on Condition Monitoring and Fault Classification in Industrial and Energy Systems
arxiv_2601.11367v1			physics	false	false	none	No quantum solutions to linear constraint systems from monomial measurement-based quantum computation in odd prime dimen
arxiv_2601.11480v1			physics	false	false	none	Heat, work, and fluctuations in a driven quantum resonator
biorxiv_10.1101_2025.08.11.669530	10.1101/2025.08.11.669530		biology	false	false	none	BATSY4-PRO: An Open-Source Multichannel Ultrasound Recorder for Field Bioacoustics
biorxiv_10.64898_2026.01.09.698726	10.64898/2026.01.09.698726		biology	false	false	none	Evolutionary history of Jamestown Canyon virus disentangles complex multi-vector ecology
biorxiv_10.64898_2026.01.22.701203	10.64898/2026.01.22.701203		biology	false	false	none	Creation of Novel Methylating Conjugal Donor Strains for Genetically Recalcitrant Bacteria
biorxiv_10.1101_2025.08.28.672835	10.1101/2025.08.28.672835		biology	false	false	none	SynGlue: AI-Driven Designer for Clinically Actionable Multi-Target Therapeutics
