chart_id	source_id	source_label	source_nodetype	target_id	target_label	target_nodetype	edge_label	edge_type	confidence	rationale	prior_type	prior_confidence	label_was_placeholder
human_camp_pka_desensitization	A	Agonist binds GPCR	TF	B	cAMP rises, PKA active	TF		activates	high	agonist→GPCR raises cAMP/PKA	activates	high	false
human_camp_pka_desensitization	B	cAMP rises, PKA active	TF	C	Cellular response	other		proceeds	high	PKA to cellular response	proceeds	high	false
human_camp_pka_desensitization	B	cAMP rises, PKA active	TF	D	GRK + β-arrestin desensitize receptor	other		activates	high	PKA pathway recruits GRK/arrestin	activates	high	false
human_camp_pka_desensitization	D	GRK + β-arrestin desensitize receptor	other	A	Agonist binds GPCR	TF	⊣ feedback	represses	high	⊣ desensitization blocks GPCR	represses	high	false
human_camp_pka_desensitization	B	cAMP rises, PKA active	TF	E	PDE degrades cAMP	metabolite		activates	med	PKA pathway induces PDE activity	activates	med	false
human_camp_pka_desensitization	E	PDE degrades cAMP	metabolite	B	cAMP rises, PKA active	TF	⊣	represses	med	⊣ PDE lowers cAMP/PKA; also consumes cAMP	represses	med	false
human_camp_pka_desensitization	C	Cellular response	other	F	Adapted GPCR response	TF		proceeds	high	response to adapted phenotype	proceeds	high	false
ecoli_iron_homeostasis	A	Start: E. coli Iron Homeostasis	metabolite	B	Environmental Iron Availability (Fe3+)	metabolite		proceeds	high	start to inputs	proceeds	high	false
ecoli_iron_homeostasis	A	Start: E. coli Iron Homeostasis	metabolite	C	Dissolved Oxygen Levels	other		proceeds	high	start to inputs	proceeds	high	false
ecoli_iron_homeostasis	B	Environmental Iron Availability (Fe3+)	metabolite	D	E. coli Cell	other		proceeds	high	env iron availability to cell	proceeds	high	false
ecoli_iron_homeostasis	C	Dissolved Oxygen Levels	other	D	E. coli Cell	other		proceeds	med	iron chart process advance	proceeds	med	false
ecoli_iron_homeostasis	D	E. coli Cell	other	E	Is environmental iron low?	gate		proceeds	med	iron chart process advance	proceeds	med	false
ecoli_iron_homeostasis	E	Is environmental iron low?	gate	Yes	Yes	other		proceeds	high	environmental/level gate branch	proceeds	high	false
ecoli_iron_homeostasis	Yes	Yes	other	F	Low Iron Condition	metabolite		proceeds	high	environmental/level gate branch	proceeds	high	false
ecoli_iron_homeostasis	E	Is environmental iron low?	gate	No	No	other		proceeds	high	environmental/level gate branch	proceeds	high	false
ecoli_iron_homeostasis	No	No	other	G	High Iron Condition	metabolite		proceeds	high	environmental/level gate branch	proceeds	high	false
ecoli_iron_homeostasis	F	Low Iron Condition	metabolite	H	Apo-Fur Protein - inactive repressor	TF		proceeds	high	low iron to apo-Fur protein	proceeds	high	false
ecoli_iron_homeostasis	G	High Iron Condition	metabolite	I	Intracellular Fe2+ Ion	metabolite		proceeds	high	high iron to Fe2+ ion	proceeds	high	false
ecoli_iron_homeostasis	H	Apo-Fur Protein - inactive repressor	TF	J	Fe2+-Fur Complex - Holo-Fur, active repressor	TF		modifies	med	apo-Fur to holo-Fur; Fe2+ effector edge not drawn	modifies	med	false
ecoli_iron_homeostasis	J	Fe2+-Fur Complex - Holo-Fur, active repressor	TF	K	Fur Binding to DNA - Fur-box	TF		represses	med	holo-Fur binds Fur-box DNA	represses	med	false
ecoli_iron_homeostasis	K	Fur Binding to DNA - Fur-box	TF	L	Transcriptional Repression by Holo-Fur	gene		represses	high	holo-Fur transcriptional repression	represses	high	false
ecoli_iron_homeostasis	K	Fur Binding to DNA - Fur-box	TF	M	Transcriptional Activation by Holo-Fur (e.g., storage genes)	gene		activates	high	holo-Fur activates storage genes	activates	high	false
ecoli_iron_homeostasis	F	Low Iron Condition	metabolite	N	Apo-Fur Dissociates from DNA	TF		proceeds	high	low-iron state to apo-Fur DNA leave	proceeds	high	false
ecoli_iron_homeostasis	N	Apo-Fur Dissociates from DNA	TF	O	Transcriptional Derepression by Apo-Fur	gene		activates	high	apo-Fur dissociation derepresses	activates	high	false
ecoli_iron_homeostasis	O	Transcriptional Derepression by Apo-Fur	gene	P	Upregulation of Siderophore Systems (ent, fep)	TF		activates	high	derepression upregulates siderophore genes	activates	high	false
ecoli_iron_homeostasis	P	Upregulation of Siderophore Systems (ent, fep)	TF	Q	Siderophore Biosynthesis & Secretion Enzymes	TF		produces	high	gene upregulation yields biosynthetic enzymes	produces	high	false
ecoli_iron_homeostasis	Q	Siderophore Biosynthesis & Secretion Enzymes	TF	R	Siderophores (e.g., Enterobactin)	TF		produces	high	enzymes produce siderophores	produces	high	false
ecoli_iron_homeostasis	R	Siderophores (e.g., Enterobactin)	TF	S	Iron-Siderophore Complex	TF		produces	high	siderophore binds environmental iron	produces	high	false
ecoli_iron_homeostasis	S	Iron-Siderophore Complex	TF	T	Siderophore Uptake Systems (Fhu, Fec, Fep)	TF		proceeds	high	complex to uptake systems	proceeds	high	false
ecoli_iron_homeostasis	T	Siderophore Uptake Systems (Fhu, Fec, Fep)	TF	U	Cytoplasmic Ferric Iron (Fe3+) from siderophores	TF		produces	high	uptake yields cytoplasmic Fe3+	produces	high	false
ecoli_iron_homeostasis	O	Transcriptional Derepression by Apo-Fur	gene	V	Upregulation of Feo System (Ferrous Iron Uptake)	metabolite		activates	high	derepression upregulates Feo genes	activates	high	false
ecoli_iron_homeostasis	V	Upregulation of Feo System (Ferrous Iron Uptake)	metabolite	W	FeoAB/C System	other		produces	med	Feo gene upregulation yields Feo system	produces	med	false
ecoli_iron_homeostasis	W	FeoAB/C System	other	X	Cytoplasmic Ferrous Iron (Fe2+)	metabolite		produces	high	Feo imports Fe2+	produces	high	false
ecoli_iron_homeostasis	O	Transcriptional Derepression by Apo-Fur	gene	Y	Upregulation of Heme Uptake Systems (chu, shu)	other		activates	high	derepression upregulates heme uptake genes	activates	high	false
ecoli_iron_homeostasis	Y	Upregulation of Heme Uptake Systems (chu, shu)	other	Z	Heme Uptake & Iron Release (HemO)	metabolite		produces	med	heme uptake genes yield uptake machinery	produces	med	false
ecoli_iron_homeostasis	Z	Heme Uptake & Iron Release (HemO)	metabolite	X	Cytoplasmic Ferrous Iron (Fe2+)	metabolite		produces	high	heme pathway releases Fe2+	produces	high	false
ecoli_iron_homeostasis	U	Cytoplasmic Ferric Iron (Fe3+) from siderophores	TF	AA	Ferric Reductase Activity	protein		proceeds	high	Fe3+ to reductase	proceeds	high	false
ecoli_iron_homeostasis	AA	Ferric Reductase Activity	protein	X	Cytoplasmic Ferrous Iron (Fe2+)	metabolite		produces	high	reductase yields Fe2+	produces	high	false
ecoli_iron_homeostasis	M	Transcriptional Activation by Holo-Fur (e.g., storage genes)	gene	AB	Upregulation of Iron Storage Proteins (ftnA, bfr)	metabolite		activates	high	Fur activates storage genes	activates	high	false
ecoli_iron_homeostasis	AB	Upregulation of Iron Storage Proteins (ftnA, bfr)	metabolite	AC	Ferritin (FtnA) & Bacterioferritin (Bfr)	other		produces	high	storage gene expression yields ferritin	produces	high	false
ecoli_iron_homeostasis	AC	Ferritin (FtnA) & Bacterioferritin (Bfr)	other	AD	Iron Sequestration & Storage	metabolite		sequesters	high	ferritin sequesters iron	sequesters	high	false
ecoli_iron_homeostasis	AD	Iron Sequestration & Storage	metabolite	AE	Stored Iron Pool	metabolite		produces	high	sequestration makes stored pool	produces	high	false
ecoli_iron_homeostasis	X	Cytoplasmic Ferrous Iron (Fe2+)	metabolite	AF	Iron Utilization for Essential Metalloproteins	metabolite		proceeds	med	downstream physiology/damage branch	proceeds	med	false
ecoli_iron_homeostasis	AF	Iron Utilization for Essential Metalloproteins	metabolite	AG	Essential Metalloproteins & Cellular Metabolism	other		proceeds	med	downstream physiology/damage branch	proceeds	med	false
ecoli_iron_homeostasis	X	Cytoplasmic Ferrous Iron (Fe2+)	metabolite	AH	\Is Cytoplasmic Fe2+ level high?	gate		proceeds	high	Fe2+ pool to level gate	proceeds	high	false
ecoli_iron_homeostasis	AH	\Is Cytoplasmic Fe2+ level high?	gate	Yes	Yes	other		proceeds	high	environmental/level gate branch	proceeds	high	false
ecoli_iron_homeostasis	Yes	Yes	other	AI	Fenton Reaction & ROS Production	other		proceeds	high	environmental/level gate branch	proceeds	high	false
ecoli_iron_homeostasis	AI	Fenton Reaction & ROS Production	other	AJ	Oxidative Damage & Cell Impairment	other		proceeds	med	downstream physiology/damage branch	proceeds	med	false
ecoli_iron_homeostasis	AH	\Is Cytoplasmic Fe2+ level high?	gate	No	No	other		proceeds	high	environmental/level gate branch	proceeds	high	false
ecoli_iron_homeostasis	No	No	other	AF	Iron Utilization for Essential Metalloproteins	metabolite		proceeds	high	environmental/level gate branch	proceeds	high	false
ecoli_iron_homeostasis	F	Low Iron Condition	metabolite	AK	RyhB sRNA Activation (low iron)	metabolite		activates	high	low iron activates RyhB	activates	high	false
ecoli_iron_homeostasis	AK	RyhB sRNA Activation (low iron)	metabolite	AL	RyhB Repression of Iron-Dependent Enzymes e.g., sdh, suc	metabolite		represses	high	RyhB represses Fe-enzymes	represses	high	false
