review_id	chart_id	source_label	target_label	edge_label	v2_type	v2_confidence	v2_rationale	v1_type	rule_applied
R001	ecoli_phosphate_regulation	Increased Membrane Remodeling Genes	Replacement of Phospholipids		produces	med	gene expression outcome / remodeling product	produces	none
R002	ecoli_iron_homeostasis	Iron Efflux Proteins & Export	Environmental Iron Availability (Fe3+)		produces	med	export returns Fe to environment	produces	none
R003	drosophila_gap_gene_network	Krüppel (Kr)	\Gap genes mutual repression		represses	high	gap gene mutual repression	represses	none
R004	ecoli_phosphate_regulation	Synthesis of Polyphosphate (PolyP)	PolyP Storage (Pi Reserve)		produces	high	PolyP stored	produces	none
R005	ecoli_phosphate_regulation	\Pst System (sensor) Inactive	PhoR (Histidine Kinase)		activates	med	sensor-off engages PhoR	activates	none
R006	human_iron_irp_ire	Transferrin-receptor mRNA stabilized	Iron uptake rises		produces	med	stabilized mRNA -> uptake increase	produces	none
R007	ecoli_phosphate_regulation	Enhanced Pi Uptake	Intracellular Pi from Uptake		produces	med	uptake yields intracellular pool	produces	none
R008	ecoli_iron_homeostasis	Upregulation of Feo System (Ferrous Iron Uptake)	FeoAB/C System		produces	high	Rule3: expression -> its own machinery/product	produces	3
R009	ecoli_iron_homeostasis	Upregulation of Heme Uptake Systems (chu, shu)	Heme Uptake & Iron Release (HemO)		produces	high	Rule3: expression -> its own machinery/product	produces	3
R010	ecoli_phosphate_regulation	PL + ATP -> PLP + ADP Reaction	Pyridoxal 5'-Phosphate (PLP)		produces	high	reaction yields PLP	produces	none
R011	yeast_cell_cycle_control	Spindle Assembly Checkpoint?	APC/C Activation Cdc20	Passed	activates	high	Rule2: checkpoint/gate outcome ('Passed') -> activates	activates	2
R012	ecoli_iron_homeostasis	Transcriptional Derepression by Apo-Fur	Upregulation of Feo System (Ferrous Iron Uptake)		activates	high	regulator controls different entity expression	activates	none
R013	human_nfkb_ikb_oscillator	IκBα resynthesized	IκB resequesters NF-κB		sequesters	high	I?B resynthesis enables sequestration	sequesters	none
R014	yeast_cell_cycle_control	Start Checkpoint Size & Nutrients?	G1 Cyclins Cln1/2/3	Yes	activates	high	Rule2: checkpoint/gate outcome ('Yes') -> activates	activates	2
R015	ecoli_tryptophan_biosynthesis	trpL Leader Sequence	OR: Trp-tRNA Charged?		proceeds	high	sequence to gate	proceeds	none
R016	ecoli_iron_homeostasis	Transcriptional Derepression by Apo-Fur	Derepression of Iron Efflux Genes		activates	high	regulator controls different entity expression	activates	none
R017	human_iron_irp_ire	IRP1/2 bind IRE elements	Transferrin-receptor mRNA stabilized		activates	high	IRP binding stabilizes TfR mRNA	activates	none
R018	ecoli_tryptophan_biosynthesis	Anthranilate Formation	TrpD Phosphoribosyltransferase		proceeds	med	metabolite to enzyme	proceeds	none
R019	human_camp_pka_desensitization	cAMP rises, PKA active	PDE degrades cAMP		activates	med	PKA induces PDE	activates	none
R020	ecoli_tryptophan_biosynthesis	\TrpR Inactive	No Repression		activates	med	inactive repressor -> unrepressed state	activates	none
R021	yeast_cell_cycle_control	G2 Phase Growth & Preparation	Clb1/2 Cyclins Mitotic CDK		activates	med	growth enables cyclin/CDK	activates	none
R022	ecoli_tca_cycle	Citrate ⇌ cis-Aconitate + H2O	cis-Aconitate ⇌ Isocitrate		proceeds	high	metabolic step	produces	none
R023	ecoli_tryptophan_biosynthesis	TrpE/D Anthranilate Synthase	AND: Chorismate + Gln AND TrpE/D?		proceeds	med	metabolite to enzyme	proceeds	none
R024	human_iron_irp_ire	Rising iron inactivates IRPs	IRP1/2 bind IRE elements	⊣ feedback	represses	high	Rule1: explicit bar-head inhibition marker	represses	1
R025	ecoli_phosphate_regulation	Impact on PTS Phosphorylation	Is Glucose Available?		proceeds	med	state/process link	proceeds	none
R026	ecoli_tryptophan_biosynthesis	OR: Trp-tRNA Charged?	Ribosome Stalls at Trp Codons	No - Low Trp	activates	high	Rule2: checkpoint/gate outcome ('No - Low Trp') -> activates	proceeds	2
R027	ecoli_tryptophan_biosynthesis	Indole-3-Glycerol Phosphate	TrpA/B Tryptophan Synthase		proceeds	med	metabolite to enzyme	proceeds	none
R028	ecoli_phosphate_regulation	Release of Intracellular Pi from PolyP	Intracellular Pi Pool (General)		produces	med	Pi enters pool	produces	none
R029	ecoli_sos_lexa	SOS repair genes derepressed	Repair removes ssDNA signal		activates	med	SOS enables repair	activates	none
R030	ecoli_iron_homeostasis	E. coli Cell	Is environmental iron low?		proceeds	high	context to gate	proceeds	none
R031	ecoli_tca_cycle	Third NADH produced	Oxaloacetate regenerated		proceeds	high	metabolic step	proceeds	none
R032	ecoli_tryptophan_biosynthesis	1-O-Carboxyphenylamino-1-deoxyribulose-5-P	CDRP		produces	high	intermediate -> CDRP	produces	none
R033	yeast_cell_cycle_control	DNA Replication Complete?	Clb5/6 Cyclins S-phase CDK	Yes	activates	high	Rule2: checkpoint/gate outcome ('Yes') -> activates	activates	2
R034	yeast_cell_cycle_control	Cdc28-Cln Activation	Bud Formation Spindle Pole Duplication		activates	high	CDK activation drives events	activates	none
R035	human_camp_pka_desensitization	PDE degrades cAMP	cAMP rises, PKA active	⊣	represses	high	Rule1: explicit bar-head inhibition marker	represses	1
R036	ecoli_phosphate_regulation	Conservation of Intracellular Pi	Intracellular Pi Pool (General)		produces	med	Pi enters pool	produces	none
R037	drosophila_gap_gene_network	knirps (kni)	\Gap genes mutual repression		represses	high	gap gene mutual repression	represses	none
