process_id	name	organism	category	circuit_class	tier	tier_reason	total_nodes	edges	loops	gates	gate_nodes	sources	mermaid_len	topology_type	ground_truth
arabidopsis_aba_guard_cell	ABA Guard-Cell Stomatal Homeostat	Arabidopsis thaliana	Hormone Signaling / Water Balance	II	A_OK	intentional minimal topology (hormonal_negative_feedback_homeostat)	7	7	1	2	0	2	597	hormonal_negative_feedback_homeostat	yes
arabidopsis_circadian_clock	Arabidopsis Circadian Clock (CCA1/LHY–TOC1)	Arabidopsis thaliana	Circadian Rhythm	IV	A_OK	intentional minimal topology (delayed_negative_feedback_oscillator)	6	6	1	2	0	1	490	delayed_negative_feedback_oscillator	yes
arabidopsis_flc_vernalization	FLC Vernalization Epigenetic Memory	Arabidopsis thaliana	Epigenetic Inheritance / Flowering	V	A_OK	intentional minimal topology (self_maintaining_polycomb_chromatin_memory)	6	6	1	0	0	2	535	self_maintaining_polycomb_chromatin_memory	yes
bacillus_comk_competence	ComK Competence Bistable Switch	Bacillus subtilis	Developmental Switch / Competence	III	A_OK	IIIa switch with adequate detail	7	7	1	1	0	2	596	positive_autoregulation_bistable	yes
bacillus_spo0a_sporulation	Spo0A Phosphorelay Sporulation Commitment	Bacillus subtilis	Developmental Switch / Sporulation	III	A_OK	has explicit logic-gate representation	7	7	1	0	1	2	578	threshold_positive_feedback_bistable_commitment	yes
celegans_dauer_decision	C. elegans Dauer Developmental Switch	Caenorhabditis elegans	Developmental Decision	III	A_OK	has explicit logic-gate representation	7	7	1	1	1	2	620	signal_integrated_bistable_decision	yes
celegans_heterochronic_clock	Heterochronic microRNA Timing Cascade	Caenorhabditis elegans	Developmental Timing	I	A_OK	intentional minimal topology (feed_forward_temporal_cascade)	7	6	0	2	0	2	566	feed_forward_temporal_cascade	yes
drosophila_gap_gene_network	Drosophila Gap-Gene Patterning Network	Drosophila melanogaster	Developmental Patterning	III	A_OK	passes default thresholds	8	14	1	1	0	2	693	cross_repression_multistable_patterning	yes
drosophila_segment_polarity	Segment-Polarity Network (wg/en/hh)	Drosophila melanogaster	Developmental Patterning	III	A_OK	passes default thresholds	9	10	4	0	0	1	716	intercellular_positive_feedback_bistable_module	yes
ecoli_flhdc_flagellar	Flagellar Gene Feed-Forward Cascade (FlhDC)	E. coli	Motility / Transcriptional Cascade	I	B_REVIEW	minimal node count — verify intentional	6	6	0	1	0	2	509	transcriptional_feed_forward_cascade	yes
ecoli_lambda_switch	Bacteriophage λ CI/Cro Lysis–Lysogeny Switch	Bacteriophage lambda	Phage Developmental Switch	III	A_OK	has explicit logic-gate representation	8	10	3	2	0	2	634	mutual_repression_bistable_genetic_switch	yes
ecoli_sos_lexa	SOS DNA-Damage Response (LexA/RecA)	E. coli	DNA Damage Response	II	A_OK	intentional minimal topology (derepression_negative_feedback_homeostat)	6	6	1	2	0	1	521	derepression_negative_feedback_homeostat	yes
human_akt_foxo_insulin	Insulin–AKT–FOXO Metabolic Homeostat	Homo sapiens	Metabolic Signaling	II	A_OK	intentional minimal topology (foxo_negative_feedback_homeostat)	8	9	1	2	1	2	675	foxo_negative_feedback_homeostat	yes
human_ampk_energy_homeostat	AMPK Energy-Charge Homeostat	Homo sapiens	Metabolic Signaling	II	A_OK	intentional minimal topology (energy_negative_feedback_homeostat)	6	6	1	1	0	1	489	energy_negative_feedback_homeostat	yes
human_apoptosis_caspase_switch	Caspase Apoptosis Commitment Switch	Homo sapiens	Apoptosis	III	B_REVIEW	borderline thin — acceptable topology schematic	7	8	2	1	0	1	595	positive_feedback_irreversible_bistable	yes
