chart_id	source_id	source_label	target_id	target_label	edge_label	edge_type	confidence	rule_applied	rationale
arabidopsis_aba_guard_cell	A	Drought: ABA rises	B	PYR/PYL inhibit PP2C		proceeds	med	none	unlabeled process step
arabidopsis_aba_guard_cell	B	PYR/PYL inhibit PP2C	C	SnRK2 kinases active		proceeds	med	none	unlabeled process step
arabidopsis_aba_guard_cell	C	SnRK2 kinases active	D	Open SLAC1 anion channels; stomata close		proceeds	med	none	unlabeled process step
arabidopsis_aba_guard_cell	D	Open SLAC1 anion channels; stomata close	E	Transpiration drops; water restored		proceeds	med	none	unlabeled process step
arabidopsis_aba_guard_cell	E	Transpiration drops; water restored	F	Rehydration lowers ABA		proceeds	med	none	unlabeled process step
arabidopsis_aba_guard_cell	F	Rehydration lowers ABA	A	Drought: ABA rises	⊣ feedback	represses	high	1	Rule1 explicit bar-head inhibition
arabidopsis_circadian_clock	B	CCA1/LHY morning factors	C	Repress evening gene TOC1		proceeds	med	none	unlabeled process step
arabidopsis_circadian_clock	C	Repress evening gene TOC1	D	TOC1 / evening complex	⊣	represses	high	1	Rule1 explicit bar-head inhibition
arabidopsis_circadian_clock	D	TOC1 / evening complex	E	Represses CCA1/LHY		proceeds	med	none	unlabeled process step
arabidopsis_circadian_clock	E	Represses CCA1/LHY	B	CCA1/LHY morning factors	⊣ delayed	represses	high	1	Rule1 explicit bar-head inhibition
arabidopsis_flc_vernalization	C	PRC2 deposits H3K27me3 at FLC	D	FLC epigenetically silenced		proceeds	med	none	unlabeled process step
arabidopsis_flc_vernalization	D	FLC epigenetically silenced	E	Silenced state mitotically inherited		proceeds	med	none	unlabeled process step
arabidopsis_flc_vernalization	E	Silenced state mitotically inherited	C	PRC2 deposits H3K27me3 at FLC	+ self-maintain	activates	high	1	Rule1 explicit Activates/+ marker
bacillus_comk_competence	D	ComK accumulates	E	ComK activates its own promoter		proceeds	med	none	unlabeled process step
bacillus_comk_competence	E	ComK activates its own promoter	D	ComK accumulates	+	activates	high	1	Rule1 explicit Activates/+ marker
bacillus_germination	AQ	ATP Synthesis Resumes	CA	ATP Sufficient?		produces	med	none	material production/appearance
bacillus_germination	CA	ATP Sufficient?	CB	Slow Germination	No	represses	high	2	Rule2 checkpoint outcome No -> represses
bacillus_germination	CB	Slow Germination	AQ	ATP Synthesis Resumes		proceeds	med	none	unlabeled process step
bacillus_spo0a_sporulation	C	Spo0A~P rises	D	Spo0A~P above threshold?		proceeds	high	none	process feeds decision gate
bacillus_spo0a_sporulation	D	Spo0A~P above threshold?	E	Activates sporulation sigma factors	Yes	activates	high	2	Rule2 checkpoint outcome Yes -> activates
bacillus_spo0a_sporulation	E	Activates sporulation sigma factors	F	Positive feedback raises Spo0A~P		proceeds	med	none	unlabeled process step
bacillus_spo0a_sporulation	F	Positive feedback raises Spo0A~P	C	Spo0A~P rises	+	activates	high	1	Rule1 explicit Activates/+ marker
celegans_dauer_decision	E	Low signaling: DAF-16 + DAF-3 active	F	Commit to dauer larva		proceeds	med	none	unlabeled process step
celegans_dauer_decision	F	Commit to dauer larva	E	Low signaling: DAF-16 + DAF-3 active	+ commit	activates	high	1	Rule1 explicit Activates/+ marker
drosophila_segment_polarity	B	engrailed (en)	C	hedgehog (hh)		proceeds	med	none	unlabeled process step
drosophila_segment_polarity	B	engrailed (en)	G	Wg maintains en/hh		proceeds	med	none	unlabeled process step
drosophila_segment_polarity	C	hedgehog (hh)	H	Hh sustains wg via Ci		proceeds	med	none	unlabeled process step
drosophila_segment_polarity	E	wingless (wg)	B	engrailed (en)	+ maintain en	activates	high	1	Rule1 explicit Activates/+ marker
drosophila_segment_polarity	F	Ci activator in receiving cell	E	wingless (wg)	+	activates	high	1	Rule1 explicit Activates/+ marker
drosophila_segment_polarity	G	Wg maintains en/hh	E	wingless (wg)	+	activates	high	1	Rule1 explicit Activates/+ marker
drosophila_segment_polarity	H	Hh sustains wg via Ci	F	Ci activator in receiving cell		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	AA	Succinate Dehydrogenase sdhABCD	AB	Fumarate + FADH2		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	AB	Fumarate + FADH2	AC	Fumarase fumAC		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	AC	Fumarase fumAC	AD	Malate		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	AD	Malate	AE	Malate Dehydrogenase mdh		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	AE	Malate Dehydrogenase mdh	AF	Oxaloacetate + NADH		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	AF	Oxaloacetate + NADH	R	Citrate Synthase gltA		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	R	Citrate Synthase gltA	S	Citrate		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	S	Citrate	T	Aconitase acnA/acnB		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	T	Aconitase acnA/acnB	U	Isocitrate		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	U	Isocitrate	V	Isocitrate Dehydrogenase icd		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	V	Isocitrate Dehydrogenase icd	W	α-Ketoglutarate + NADH + CO2		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	W	α-Ketoglutarate + NADH + CO2	X	α-KG Dehydrogenase sucABCD		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	X	α-KG Dehydrogenase sucABCD	Y	Succinyl-CoA + NADH + CO2		proceeds	med	none	unlabeled process step
ecoli_aerobic_respiration	Y	Succinyl-CoA + NADH + CO2	Z	Succinate		proceeds	med	none	unlabeled process step
